x,y,thAbbr,thName,enAbbr,enName
2,0,ชร,เชียงราย,CRI,ChiangRai
0,1,มส,แม่ฮ่องสอน,MSN,MaeHongSon
1,1,ชม,เชียงใหม่,CMI,ChiangMai
2,1,พย,พะเยา,PYO,Phayao
3,1,นน,น่าน,NAN,Nan
0,2,ลพ,ลำพูน,LPN,Lamphun
1,2,ลป,ลำปาง,LPG,Lampang
2,2,พร,แพร่,PRE,Phrae
3,2,อต,อุตรดิตถ์,UTT,Uttaradit
0,3,ตก,ตาก,TAK,Tak
1,3,สท,สุโขทัย,STI,Sukhothai
2,3,พล,พิษณุโลก,PLK,Phitsanulok
1,4,กพ,กำแพงเพชร,KPT,KamphaengPhet
2,4,พจ,พิจิตร,PCT,Phichit
3,4,ลย,เลย,LEI,Loei
4,4,นค,หนองคาย,NKI,NongKhai
5,4,บก,บึงกาฬ,BKN,BeungKan
6,4,สน,สกลนคร,SNK,SakonNakhon
7,4,นพ,นครพนม,NPM,NakhonPhanom
1,5,อน,อุทัยธานี,UTI,UthaiThani
2,5,นว,นครสวรรค์,NSN,NakhonSawan
3,5,พช,เพชรบูรณ์,PNB,Phetchabun
4,5,นภ,หนองบัวลำภู,NBP,NongBuaLamPhu
5,5,อด,อุดรธานี,UDN,UdonThani
6,5,กส,กาฬสินธุ์,KSN,Kalasin
7,5,มห,มุกดาหาร,MDH,Mukdahan
1,6,ชน,ชัยนาท,CNT,ChaiNat
2,6,สห,สิงห์บุรี,SBR,SingBuri
3,6,ลบ,ลพบุรี,LRI,LopBuri
4,6,ชย,ชัยภูมิ,CPM,Chaiyaphum
5,6,ขก,ขอนแก่น,KKN,KhonKaen
6,6,มค,มหาสารคาม,MKM,MahaSarakham
7,6,รอ,ร้อยเอ็ด,RET,RoiEt
8,6,ยส,ยโสธร,YST,Yasothon
9,6,อจ,อำนาจเจริญ,ACR,AmnatCharoen
1,7,สพ,สุพรรณบุรี,SPB,SuphanBuri
2,7,อท,อ่างทอง,ATG,AngThong
3,7,อย,พระนครศรีอยุธยา,AYA,PhraNakhonSiAyutthaya
4,7,สบ,สระบุรี,SRI,Saraburi
5,7,นม,นครราชสีมา,NMA,NakhonRatchasima
6,7,บร,บุรีรัมย์,BRM,BuriRam
7,7,สร,สุรินทร์,SRN,Surin
8,7,ศก,ศรีสะเกษ,SSK,SiSaKet
9,7,อบ,อุบลราชธานี,UBN,UbonRatchathani
1,8,กจ,กาญจนบุรี,KRI,Kanchanaburi
2,8,นบ,นนทบุรี,NBI,Nonthaburi
3,8,ปท,ปทุมธานี,PTE,PathumThani
4,8,นย,นครนายก,NYK,NakhonNayok
5,8,ปจ,ปราจีนบุรี,PRI,PrachinBuri
1,9,รบ,ราชบุรี,RBR,Ratchaburi
2,9,นฐ,นครปฐม,NPT,NakhonPathom
3,9,กทม,กรุงเทพมหานคร,BKK,Bangkok
4,9,ชบ,ชลบุรี,CBI,ChonBuri
5,9,ฉช,ฉะเชิงเทรา,CCO,Chachoengsao
6,9,สก,สระแก้ว,SKW,SaKaeo
1,10,พบ,เพชรบุรี,PBI,Phetchaburi
2,10,สส,สมุทรสงคราม,SKM,SamutSongkhram
3,10,สค,สมุทรสาคร,SKN,SamutSakhon
4,10,สป,สมุทรปราการ,SPK,SamutPrakan
5,10,รย,ระยอง,RYG,Rayong
6,10,จบ,จันทบุรี,CTI,Chanthaburi
1,11,ปข,ประจวบคีรีขันธ์,PKN,PrachuapKhiriKhan
6,11,ตร,ตราด,TRT,Trat
0,12,รน,ระนอง,RNG,Ranong
1,12,ชพ,ชุมพร,CPN,Chumphon
0,13,พง,พังงา,PNA,Phang-nga
1,13,สฎ,สุราษฎร์ธานี,SNI,SuratThani
0,14,ภก,ภูเก็ต,PKT,Phuket
1,14,กบ,กระบี่,KBI,Krabi
2,14,นศ,นครศรีธรรมราช,NRT,NakhonSiThammarat
2,15,ตง,ตรัง,TRG,Trang
3,15,พท,พัทลุง,PLG,Phatthalung
3,16,สต,สตูล,STN,Satun
4,16,สข,สงขลา,SKA,Songkhla
5,16,ปน,ปัตตานี,PTN,Pattani
5,17,ยล,ยะลา,YLA,Yala
6,17,นธ,นราธิวาส,NWT,Narathiwat
